employee_id,gender,department,job_level,education,age,experience_years,performance_rating,annual_salary,promoted_last_cycle,exited_last_12mo,hire_year
EMP00001,Female,Engineering,Senior,Masters,35,11.2,4.4,83243.0,False,False,2015
EMP00002,Male,HR,Director,Masters,25,4.0,4.1,136212.0,True,False,2022
EMP00003,Female,Finance,Associate,Bachelors,22,0.0,2.8,42706.0,False,False,2026
EMP00004,Female,HR,Senior,Masters,28,0.0,3.9,63409.0,False,False,2025
EMP00005,Male,Marketing,Senior,Masters,37,12.7,3.9,84121.0,False,False,2013
EMP00006,Female,Finance,Associate,Masters,26,5.4,3.6,60674.0,False,False,2021
EMP00007,Female,Marketing,Senior,Bachelors,29,4.0,4.1,76264.0,False,False,2021
EMP00008,Female,Finance,Senior,Bachelors,37,13.6,3.5,81870.0,False,False,2011
EMP00009,Male,Marketing,Associate,Bachelors,46,12.1,3.5,63066.0,False,False,2013
EMP00010,Male,Engineering,Associate,Bachelors,32,7.1,3.5,55923.0,False,False,2019
EMP00011,Male,HR,Manager,Bachelors,29,5.8,2.2,109983.0,False,False,2020
EMP00012,Female,Engineering,Associate,Bachelors,35,6.5,3.4,59023.0,False,False,2018
EMP00013,Female,Operations,Senior,Masters,26,7.9,3.0,65558.0,False,False,2018
EMP00014,Female,HR,Senior,Bachelors,38,13.4,2.7,76866.0,True,False,2012
EMP00015,Male,Marketing,Manager,Masters,39,8.7,4.3,126423.0,False,False,2017
EMP00016,Male,Marketing,Lead,Bachelors,34,9.9,3.7,101080.0,True,False,2016
EMP00017,Male,HR,Manager,Masters,31,11.7,3.4,127709.0,True,False,2013
EMP00018,Male,Sales,Lead,Bachelors,25,2.3,3.1,91346.0,False,False,2024
EMP00019,Female,Sales,Senior,Bachelors,38,10.0,3.6,72440.0,False,False,2015
EMP00020,Female,Marketing,Senior,Masters,31,5.8,4.0,73419.0,False,False,2020
EMP00021,Female,Sales,Associate,PhD,21,0.0,2.9,43395.0,False,False,2025
